time	I(R1)	I(R4)
1.593632218997081e-001	-1.750259e-003	-4.671589e-004
1.593738609979497e-001	-1.436413e-003	-3.711298e-004
1.593861732054990e-001	-9.381203e-004	-2.191764e-004
1.593955071032591e-001	-4.895192e-004	-8.239855e-005
1.594039383745227e-001	-5.990481e-005	4.857353e-005
1.594126145271068e-001	3.656230e-004	1.781554e-004
1.594223785299037e-001	7.471500e-004	3.041519e-004
1.594348079656476e-001	1.048884e-003	4.319773e-004
1.594396931860539e-001	1.109494e-003	4.686814e-004
1.594432858689728e-001	1.131477e-003	4.867593e-004
1.594465819437212e-001	1.144073e-003	4.976765e-004
1.594495819979688e-001	1.149508e-003	5.027841e-004
1.594528446288424e-001	1.148208e-003	5.024291e-004
1.594576295837480e-001	1.131500e-003	4.904248e-004
1.594653776223503e-001	1.050501e-003	4.455862e-004
1.594764018770730e-001	7.784675e-004	3.398212e-004
1.594889136076618e-001	2.702656e-004	1.787453e-004
1.594978253744711e-001	-1.718304e-004	4.607463e-005
1.595062325110092e-001	-6.037742e-004	-8.354717e-005
1.595147689442714e-001	-1.015589e-003	-2.068252e-004
1.595254878777533e-001	-1.453873e-003	-3.376644e-004
1.595357985734343e-001	-1.778459e-003	-4.345792e-004
1.595404125357882e-001	-1.878497e-003	-4.646030e-004
1.595438235239381e-001	-1.924485e-003	-4.785157e-004
1.595472290759016e-001	-1.948996e-003	-4.860189e-004
1.595514647569386e-001	-1.953592e-003	-4.876417e-004
1.595553847660937e-001	-1.929212e-003	-4.806645e-004
1.595617520002624e-001	-1.827777e-003	-4.512420e-004
1.595719693889203e-001	-1.547607e-003	-3.701957e-004
1.595839067969458e-001	-1.085625e-003	-2.369405e-004
1.595938872420620e-001	-6.159666e-004	-1.015334e-004
1.596024210073114e-001	-1.827603e-004	2.334968e-005
1.596113189796737e-001	2.598032e-004	1.507941e-004
1.596203950016640e-001	6.368679e-004	2.653054e-004
1.596327700460280e-001	9.876894e-004	3.923619e-004
1.596382299693500e-001	1.069888e-003	4.344201e-004
1.596421985063832e-001	1.097399e-003	4.557239e-004
1.596452308028374e-001	1.110666e-003	4.667196e-004
1.596489947646455e-001	1.119066e-003	4.741858e-004
1.596526262676657e-001	1.118942e-003	4.748897e-004
1.596572745287736e-001	1.104201e-003	4.648058e-004
1.596648055666148e-001	1.027766e-003	4.250834e-004
1.596756815346639e-001	7.634299e-004	3.287821e-004
1.596880590933840e-001	2.666869e-004	1.804086e-004
1.596969911195583e-001	-1.735774e-004	5.558199e-005
1.597053992917889e-001	-6.060000e-004	-6.701217e-005
1.597139634322968e-001	-1.023366e-003	-1.850552e-004
1.597243607625684e-001	-1.455879e-003	-3.070263e-004
1.597353724674245e-001	-1.811521e-003	-4.072682e-004
1.597401024889348e-001	-1.917537e-003	-4.373025e-004
1.597435915528915e-001	-1.966262e-003	-4.512270e-004
1.597469494747896e-001	-1.992633e-003	-4.588424e-004
1.597506527429934e-001	-2.000631e-003	-4.613073e-004
1.597540628447680e-001	-1.985671e-003	-4.573213e-004
1.597596086796976e-001	-1.913575e-003	-4.375857e-004
1.597685547185717e-001	-1.700075e-003	-3.791809e-004
1.597801803470468e-001	-1.285346e-003	-2.661908e-004
1.597920065564610e-001	-7.506043e-004	-1.207861e-004
1.598009333404163e-001	-3.026006e-004	1.049921e-006
1.598102791232574e-001	1.666580e-004	1.286582e-004
1.598187202103673e-001	5.344807e-004	2.317526e-004
1.598311098096487e-001	9.248800e-004	3.561547e-004
1.598376449857883e-001	1.036337e-003	4.059726e-004
1.598417663152338e-001	1.067078e-003	4.280250e-004
1.598448403352304e-001	1.081074e-003	4.391868e-004
1.598484612499118e-001	1.089699e-003	4.466165e-004
1.598524276985917e-001	1.090354e-003	4.480339e-004
1.598569515882229e-001	1.077320e-003	4.396175e-004
1.598642847625640e-001	1.004864e-003	4.044593e-004
1.598750133872619e-001	7.476952e-004	3.169655e-004
1.598872621218321e-001	2.618071e-004	1.805293e-004
1.598962149940711e-001	-1.765651e-004	6.334140e-005
1.599046237872852e-001	-6.091341e-004	-5.231110e-005
1.599132148619392e-001	-1.031462e-003	-1.649931e-004
1.599232955761775e-001	-1.454809e-003	-2.776174e-004
1.599357381410610e-001	-1.860518e-003	-3.854432e-004
1.599403685073346e-001	-1.964397e-003	-4.132475e-004
1.599437905613125e-001	-2.010708e-003	-4.258194e-004
1.599471893093528e-001	-2.035334e-003	-4.326291e-004
1.599514156609546e-001	-2.040187e-003	-4.342651e-004
1.599553048537661e-001	-2.016391e-003	-4.283165e-004
1.599616225837182e-001	-1.916727e-003	-4.027493e-004
1.599717640774088e-001	-1.640601e-003	-3.318668e-004
