time	V(salida)	V(vi)
Step Information: C=100n  (Run: 1/5)
8.362108992236210e-003	-1.997394e-002	3.795670e-001
8.381640242236210e-003	-2.268887e-002	3.372263e-001
8.401171492236209e-003	-2.506216e-002	2.898133e-001
8.420702742236209e-003	-2.705815e-002	2.380414e-001
8.440233992236208e-003	-2.864691e-002	1.826890e-001
8.459765242236208e-003	-2.980462e-002	1.245889e-001
8.479296492236207e-003	-3.051396e-002	6.461482e-002
8.498827742236207e-003	-3.076438e-002	3.668875e-003
8.518358992236207e-003	-3.055219e-002	-5.733225e-002
8.537890242236206e-003	-2.988069e-002	-1.174711e-001
8.557421492236206e-003	-2.876006e-002	-1.758430e-001
8.576952742236205e-003	-2.720720e-002	-2.315701e-001
8.596483992236205e-003	-2.524551e-002	-2.838141e-001
8.616015242236205e-003	-2.290449e-002	-3.317893e-001
8.635546492236204e-003	-2.021933e-002	-3.747741e-001
8.655077742236204e-003	-1.723035e-002	-4.121220e-001
8.674608992236203e-003	-1.398243e-002	-4.432712e-001
8.694140242236203e-003	-1.052432e-002	-4.677531e-001
8.713671492236202e-003	-6.907898e-003	-4.851996e-001
8.733202742236202e-003	-3.188311e-003	-4.956183e-001
8.749920475737180e-003	3.843871e-005	-4.987594e-001
8.764970442303073e-003	2.943783e-003	-4.963483e-001
8.784501692303073e-003	6.667842e-003	-4.864614e-001
8.804032942303072e-003	1.029408e-002	-4.696880e-001
8.823564192303072e-003	1.376609e-002	-4.458501e-001
8.843095442303071e-003	1.703154e-002	-4.153062e-001
8.862626692303071e-003	2.004130e-002	-3.785157e-001
8.882157942303071e-003	2.275004e-002	-3.360320e-001
8.901689192303070e-003	2.511694e-002	-2.884940e-001
8.921220442303070e-003	2.710631e-002	-2.366168e-001
8.940751692303069e-003	2.868813e-002	-1.811807e-001
8.960282942303069e-003	2.983849e-002	-1.230195e-001
8.979814192303069e-003	3.054002e-002	-6.300788e-002
8.999345442303068e-003	3.078205e-002	-2.048617e-003
9.018876692303068e-003	3.056089e-002	5.894146e-002
9.038407942303067e-003	2.987979e-002	1.190450e-001
9.057939192303067e-003	2.874896e-002	1.773580e-001
9.077470442303066e-003	2.718540e-002	2.330034e-001
9.097001692303066e-003	2.521263e-002	2.851442e-001
9.116532942303066e-003	2.286034e-002	3.329961e-001
9.136064192303065e-003	2.016394e-002	3.758395e-001
9.155595442303065e-003	1.716406e-002	4.130299e-001
9.175126692303064e-003	1.390588e-002	4.440079e-001
9.194657942303064e-003	1.043847e-002	4.683077e-001
9.214189192303064e-003	6.814077e-003	4.855637e-001
9.233720442303063e-003	3.087990e-003	4.957552e-001
9.250763398696115e-003	-2.055219e-004	4.986935e-001
9.266243054403954e-003	-3.195215e-003	4.959169e-001
9.285774304403954e-003	-6.917193e-003	4.855891e-001
9.305305554403953e-003	-1.053678e-002	4.683466e-001
9.324836804403953e-003	-1.399756e-002	4.440597e-001
9.344368054403952e-003	-1.724740e-002	4.130937e-001
