Freq.	V(salida)
Step Information: C=100n  (Run: 1/5)
9.54992586021424e+003	1.30408324335908e-001,2.15836617051969e-001
9.77237220955798e+003	1.34885608940428e-001,2.18053018940868e-001
9.99999999999987e+003	1.39453334377886e-001,2.20197419057604e-001
1.02329299228074e+004	1.44109280602400e-001,2.22265367387117e-001
1.04712854805089e+004	1.48850950450961e-001,2.24252468608856e-001
1.07151930523759e+004	1.53675568991726e-001,2.26154402180798e-001
1.09647819614317e+004	1.58580084544411e-001,2.27966942856762e-001
1.12201845430195e+004	1.63561171449534e-001,2.29685981481501e-001
1.14815362149687e+004	1.68615234647324e-001,2.31307545895993e-001
1.17489755493951e+004	1.73738416109345e-001,2.32827821774998e-001
1.20226443461740e+004	1.78926603146338e-001,2.34243173210720e-001
